study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	is_animal	title
PRJDB10484	Homo sapiens	9606		Japan	102	AMPLICON	True	Gut microbial species responsible for hyperammonemia-related urease activity in hepatic encephalopathy patients
PRJNA1268758	Gallus gallus domesticus			Jordan: Irbid	24	WGS	True	Thermal manipulation impact on microbiome in chickens
PRJNA1029302	Kyphosus sydneyanus	1260386		New Zealand: Nelson Island, Auckland	39	WGS	True	Herbivorous fish gut metagenome sequencing and assembly
PRJNA1102860	Equus caballus	9796		Canada: Sable Island, Nova Scotia	1000	WGS	True	Shallow shotgun metagenomic sequencing of the Sable Island horse gut microbiome
PRJDB11444	Homo sapiens	9606		Japan	306	AMPLICON	True	Gut microbiome of prediabetes in Japan
PRJNA1330193	Sus scrofa	9823		China: Guangdong, Guangzhou	45	AMPLICON	True	Metagenomic Sequencing Data of DLY_piglets
PRJEB83251	Mus musculus	10090	Feces	USA	26	WGS	True	C. cuniculi diarrhea in NSG mice
PRJNA888429	Sus scrofa	9823		China:Shanxi	23	WGS	True	Diversity and Potential Function of Pig Gut DNA Viruses
PRJEB59610	Canis lupus familiaris	9615		Hungary	215	AMPLICON	True	Comparative metagenomic profiling of canine gut microbial community using different sample preparation methodes
PRJDB3819	Lagopus muta hyperborea	2969981		Japan: Kanagawa, Yokohama	9	WGS	True	Novel probiotic bacteria retrieved from wild rock ptarmigans
PRJNA552411	Gallus gallus	9031		Ethiopia: Afar	2	WGS	True	Metagenome analysis reveals presence of Antibiotic Resistant Genes in Ethiopian chicken
PRJNA777737	Ochotona curzoniae	130825		China:Qinghai	26	WGS	True	the metagenome of plateau pika
PRJNA1218713	Sus scrofa	9823		Spain	172	WGS	True	Gut microbiota (swine) shotgun sequencing
PRJEB96078	Mus musculus	10090	UBERON:feces	USA;USA:CA:San Diego	192	WGS	True	ApoE_FXR_IHC_Air_HFD
PRJNA1328842	Sus scrofa	9823		USA: Kansas, Kansas State University Comparative Medicine	1000	AMPLICON	True	Assessing The Microbiome As A Tool For The Mitigation Of Viral Disease In Nursery Pigs
PRJNA792486	Black goat			China:Hainan	45	WGS	True	Rumen and cecum content metagenome of goat, and cecum content metagenome of swine Raw sequence reads
PRJNA1254096	Diptychus maculatus	263537		China: Xinjiang, Upper Kizil River	14	WGS	True	Metagenomic sequencing on the gut microbiota of Three Indigenous Fish Species from the Kizil River, Xinjiang
PRJDB36775	Homo sapiens	9606		missing: data agreement established pre-2023	118	WGS	True	Metagenome for CKD (HS study) (PRJCA040203)
PRJNA919082	Homo sapiens				64	WGS	True	Types and characteristics of shared microbiota within families of ethnic minorities in Inner Mongolia
PRJDB37508	Homo sapiens	9606		Japan:Tokyo	470	WGS	True	Human Gut Metagenome
PRJNA988937	Gallus gallus			China:Guangdong, Zhuhai	35	WGS	True	Metagenomic approach revealed the co-occurrence and transmission of antibiotic resistomes in aquaculture environment
PRJDB34988	Anas platyrhynchos	8839		missing: data agreement established pre-2023	464	RNA-Seq	True	Microbial diversity in duck gut and its effects on host phenotype (PRJCA038082)
PRJNA1454930	Sus scrofa	9823		China:Gansu	10	WGS	True	Gut meta genome
PRJNA637365	Homo sapiens	9606		Israel: Tel-Aviv	118	WGS	True	Dysbiosis in metabolic genes of the gut microbiomes of patients with a Pouch
PRJDB9922	Mus musculus	10090		Japan	48	WGS	True	Mice fecal lipidomics in antibiotics treatment
PRJNA688069	Gallus gallus				33	WGS	True	S. enterica Intracloacal challenge chicken cecum microbiome Raw sequence reads
PRJNA773596	Homo sapiens	9606		China:Hohhot	83	WGS	True	Clinical study of probiotics in adjuvant treatment of patients with osteoporosis
PRJNA852373	Homo sapiens			Taiwan	5	WGS	True	Alterations in antimicrobial resistant bacteria and gut microbiota in chickens and humans
PRJNA861020	Felis catus	9685		New Zealand:Palmerston North	36	WGS	True	Cat and dog faecal microbiome comparison
PRJNA493153	Homo sapiens	9606		USA: Arkansas	1	WGS	True	Gut Microbiome Sequencing of Head and Neck Cancer Patients
PRJDB38518	Homo sapiens	9606		missing: data agreement established pre-2023	22	WGS	True	Human gut virome (PRJCA034040)
PRJNA1389899	Gallus gallus	9031		China: Wuhan	18	WGS	True	Metagenomic sequencing of chicken caecal contents before and after heat stress
PRJNA722129	Homo sapiens	9606		China: Shandong	93	WGS	True	The possible mechanism of Probio-M8 to relieve the symptoms of asthma patients
PRJNA1067849	Sus scrofa	9823		China:Nanjing	54	WGS	True	gut microbiota of IUGR pig Metagenome
PRJNA1171181	Siniperca chuatsi	119488		China:Chizhou City	8	WGS	True	gut metagenome
PRJNA656314	Danio rerio	7955		China: Shanghai	15	WGS	True	Environmental concentrations of antibiotics alter the zebrafish gut microbiome structure and potential functions
PRJNA638426	Sus scrofa	9823		USA: Ames, IA	984	AMPLICON	True	Effects of feed additives on nursery aged swine and swine infected with Salmonella
PRJNA857725	Sus scrofa domesticus	9825		Canada:Alberta,Lacombe	60	AMPLICON	True	Fecal samples from pasture-raised pigs Metagenome
PRJNA613182	Mus musculus	10090			90	WGS	True	Longitudinal metagenomic shotgun sequencing of R6/1 fecal samples
PRJNA986525	Mus musculus	10090		USA: Nashville	17	WGS	True	2'-fucoysllactose treatment of C57BL/6 adult mice fecal metagenomics
PRJNA373834	Sus scrofa	9823		Germany: Berlin	22	WGS	True	Metagenomic analysis of gut microbiota in sows and piglets
PRJNA859374	rat			China: Xi'an	16	WGS	True	Gut microbiota in Cardiac Arrest Rat Model
PRJNA821272	Mice			China: Hohhot	30	WGS	True	Lacticaseibacillus rhamnosus M9 inhibits the growth of breast tumors in mice by regulating gut microbiota, immunity and blood metabolites
PRJNA416199	mudskipper1			missing	12	WGS	True	Intestinal flora Metagenome
PRJEB47609	Gallus gallus	9031	Ileum content	Spain	179	WGS	True	HoloFood Chicken Ileum Metagenome – deeply sequenced batch
PRJEB41323	Gallus gallus	9031	Caecum content	Spain	210	WGS	True	HoloFood Chicken Caecum Metagenome – deeply sequenced batch
PRJNA692830	Homo sapiens	9606		Sweden	24	WGS	True	Whole genome metagenomic analysis of the gut microbiome in HIV-1 infected individuals on antiretroviral therapy
PRJNA574851	Macaca mulatta	9544		China:Kunming,Yunnan-Kweichow Plateau	10	WGS	True	Gut microbiota and metabolites in α-synuclein transgenic monkey models of early stage Parkinson’s disease
PRJNA1055184	Gallus gallus	9031		USA: Iowa	133	WGS	True	Prokaryotic microbial communities of the Ileal digesta of Gallus gallus domesticus
PRJEB86262	Sus scrofa	9823	Caecum	Norway	432	WGS	True	3D'omics: protein efficiency pig trial
PRJNA946383	Gallus gallus	9031		United Kingdom	80	WGS	True	Microbial community diversity and structure in the cecum of laying hens with and without mannan-rich fraction supplementation
PRJEB39465	Mus musculus	10090		Singapore	724	WGS	True	Impact of 6-Month Exposure to Aerosols from Potential Modified Risk Tobacco Products Relative to Cigarette Smoke on the Rodent Gastrointestinal Tract
PRJNA902684	Rattus	10114		China: Hohhot	110	WGS	True	Metagenome level reveals the regulatory effect of probiotics to mastitis rats
PRJNA1011357	Cyprinus carpio	7962		Mexico: State of Mexico	10	WGS	True	Description of the viral community in fecal content of common carp (Cyprinus carpio) living in a naturally preserved wetland on Mexican plateau
PRJEB49262	Homo sapiens	9606			62	WGS	True	Depression and Fatigue in IBD
PRJEB62460	Homo sapiens			USA:CO:Grand Junction;USA	874	AMPLICON	True	Metcalf - Microbial clock for estimating PMI in three geographic regions in the U.S
PRJDB35153	Macaca mulatta brevicaudus	1654737		missing: data agreement established pre-2023	41	WGS	True	Gut Microbiota in Macaca Mulatta Brevicaudus (PRJCA038744)
PRJNA782061	Ctenopharyngodon idella	7959		China:Changsha	6	WGS	True	Gut microbiome of grass carp (EX/WT)
PRJDB33192	Homo sapiens	9606		missing: data agreement established pre-2023	51	WGS	True	Infands gut virome (PRJCA031650)
PRJNA998458	Lynx rufus			USA: Jacksonville Zoological Gardens, Jacksonville, Florida.	3	WGS	True	Bobcat (Lynx rufus) environmental DNA (eDNA) soil pawprints and scat
PRJNA1070846	rats			China:Hohhot	41	WGS	True	Fecal metagenomic sequecing
PRJNA741390	Ctenochaetus striatus	175436		China: South China Sea	8	WGS	True	A positive feeding response in a major coral reef detritivore
PRJNA796172	Sus scrofa	9823		Not collected	48	WGS	True	Detection of bacterial species and Antibiotic resistance genes in Pig Manure Based on metagenome sequencing
PRJNA255936	Sus scrofa	9823		Switzerland	15	WGS	True	Fermentation sample pig feces Metagenome
PRJDB16790	Homo sapiens	9606		Japan	428	WGS	True	Generic sample from human gut metagenome
PRJNA820553	Equus asinus			Iran:Zanjan	15	WGS	True	metagenome of ancient coprolites
PRJDB4067	Otohimella japonica	1684697		Japan:Kanagawa	2	WGS	True	Sequencing old specimens of seaweeds
PRJNA606765	Propithecus diadema	83281		Madagascar: Ambatovy Conservation Zone	100	AMPLICON	True	A role for gut microbiota in host niche differentiation
PRJNA695396	Hypophthalmichthys nobilis	7965		China: Chongqing	39	WGS	True	Bighead carp intestinal 16S rRNA gene sequencing
PRJNA1136229	Gallus gallus subsp Domesticus			United Kingdom	24	WGS	True	Breaking the Cycle: A Yeast Mannan-Rich Fraction beneficially modulates the antimicrobial resistome associated with Layer hen cecal microbiomes under commercial conditions
PRJNA946412	Felis catus	9685		New Zealand:Palmerston North	20	WGS	True	Diet effects on cat faecal microbiome composition
PRJNA626062	Homo sapiens	9606		China:Nanjing	54	WGS	True	Fecal microbiota transplant therapy in type 2 diabetes patients.
PRJNA597688	Siganus canaliculatus	75042		China:Shantou	2	WGS	True	Siganus oramin Matagenomic sequencing
PRJNA1245063	Gallus gallus				12	WGS	True	16S ribosomal RNA sequencing of animal gut microbes
PRJNA798875	broiler			China:Jiaxing	2	WGS	True	Poultry farm metagenome
PRJEB74255	Mus musculus	10090		Germany	264	AMPLICON	True	Klebsiella pneumoniae decolonization on Western-style diets
PRJNA691978	Sus scrofa	9823		USA: Georgia	61	WGS	True	time-series freshwater dialysis bag mesocosm metagenomes
PRJDB9383	Mus musculus	10090		Japan:Tokyo	8	WGS	True	Porphyromonas gingivalis impairs glucose uptake in muscle by altering gut microbiota
PRJNA913689	Larimichthys polyactis	334908			63	WGS	True	Differences in the diversity and community structure of the intestinal microbiota of commercial fishes in the central and southern East China Sea in spring and autumn
PRJDB7767	Homo sapiens	9606		Japan	118	WGS	True	Gut Microbiota dysbiosis leads to the development and progression of multiple sclerosis
PRJNA629856	Sus scrofa domesticus			Canada:Lacombe	1000	AMPLICON	True	Weaning Piglet Gut Microbiome
PRJDB7630	Homo sapiens	9606		Japan:Hyogo kobe	40	WGS	True	Gut metagenome in cardiovascular diseases
PRJNA495010	Sus scrofa	9823		China: Henan	3	WGS	True	bacterial community of environmental samples from pig farm
PRJEB6921	Homo sapiens				709	WGS	True	Role_of_early_life_gut_microbiota_in_colonisation_resistance_development
PRJNA1011201	Gallus gallus domesticus			Belgium: Bruges	6	WGS	True	Protocol for on-site nanopore sequencing of chicken fecal samples
PRJNA1332038	Gallus gallus	9031			1	WGS	True	Gut Microbiota of Babolna TetraSL chickens
PRJDB15798	Homo sapiens	9606		Japan	60	WGS	True	Novel sampling method optimized for fecal microbiota and metabolite preservation during storage
PRJNA982394	Tachysurus fulvidraco	1234273		China:Wuhu	9	WGS	True	Tachysurus fulvidraco Raw sequence reads
PRJDB17227	Homo sapiens	9606		Japan:Tokyo	52	WGS	True	Correlation analysis between EPS hydrolase, glycolysis, and SCFA production in human feces.
PRJNA575543	Sus scrofa	9823		China: Yunfu	18	WGS	True	Metagenomic characterization of intestinal regions in pigs with contrasting feed efficiency
PRJNA880353	Equus caballus	9796		Canada: Sable Island, Nova Scotia	86	WGS	True	Shallow shotgun sequencing of the microbiome recapitulates 16S amplicon results and provides functional insights
PRJNA755866	Myotis daubentonii			Russia:Moscow region	10	WGS	True	Viruses in Bats
PRJEB76409	Mus musculus			USA;USA:CA	32	WGS	True	Iron_Diet_Mouse_Study
PRJEB81717	Papio cynocephalus and P. anubis			Kenya	27	WGS	True	Adult baboon fecal samples from the Amboseli ecosystem in Kenya
PRJNA343584	Megalobrama amblycephala				13	WGS	True	Megalobrama amblycephala Genome sequencing and assembly
PRJNA293625	globefish			China:Guangdong	4	WGS	True	fish Raw sequence reads
PRJDB4525	Homo sapiens	9606		Japan:Fukuoka	36	WGS	True	Shotgun metagenomics of fecal bacterial consortium inhabiting healthy Asian children
PRJNA1110045	Sus scrofa	9823		China:chuzhou	1	WGS	True	Colonic chyme of piglets Metagenome
PRJNA779404	Sus scrofa domesticus			Canada:Lacombe	751	AMPLICON	True	Florfenicol treatment and the piglet gut microbiome
PRJNA661076	Bos taurus	9913		South Africa: Lokaleng Village, Mahikeng	2	WGS	True	Feces metagenome Metagenome
PRJDB14457	Homo sapiens	9606		Japan:Kanagawa, Atsugi	98	WGS	True	Gut microbiota of healthy Japanese adult
PRJNA779106	piglet			China:Hohhot	236	WGS	True	Effects of Compound probiotics on Growth Performance, immune function, Intestinal microflora and Blood Metabolites of Suckling Piglets
PRJDB37496	Homo sapiens	9606		Japan	50	WGS	True	Gut microbiome of 50 Japanese adults
PRJNA1282711	Sus scrofa domesticus	9825		Netherlands:Velddriel	45	WGS	True	Swine microbiome samples treated with unprocessed and processed soybean meal
PRJDB11394	Anas sp.	42806		Japan:Kagoshima, Izumi, plain	4	WGS	True	Metagenomic sequencing analysis of duck fecal samples
PRJEB81804	Sus scrofa	9823	UBERON:colon	USA;USA:CA: San Diego	573	WGS	True	Host depletion in pig and human colon samples
PRJNA974094	Danio rerio	7955			18	WGS	True	Vitamin D Modulation of Brain-Gut-Virome Disorder Caused by Polystyrene Nanoplastics Exposure in Zebrafish (Danio rerio)
PRJNA1112422	Sus scrofa domesticus	9825		Brazil: Porto Alegre	6	WGS	True	SUCCESSFUL ESTABLISHMENT OF AN IN VITRO GASTROINTESTINAL MODEL SHOWING MICROBIOTA MODULATION BY PREBIOTICS
PRJNA906507	Gallus gallus	9031		USA	32	WGS	True	Taxonomic and metagenomic analyses define the development of the microbiota in the chick
PRJNA1017798	Ochotona curzoniae	130825		China:Qinghai	24	WGS	True	Gut Microbiota Composition and Function in Plateau Pikas on the Qinghai_Tibetan Plateau
PRJNA482836	Piaractus mesopotamicus	42528		Brazil	29	WGS	True	Gut microbiome from Piaractus mesopotamicus Metagenome
PRJNA818062	Homo sapiens	9606		China:Qinghai	45	WGS	True	the gut microbiome metagenomic of Tibetan subjects
PRJNA1036376	Gallus gallus	9031		China: Ya'an	70	WGS	True	faecel metagenome and cecal metagenome
PRJEB46550	Gallus gallus	9031	Caecum content	Spain	344	WGS	True	HoloFood Chicken Caecum Metagenome – extreme sizes batch
PRJNA1110616	Larimichthys crocea	215358		China:Zhejiang	24	WGS	True	The gut microbiota of Larimichthys crocea (large yellow croaker) Raw sequence reads
PRJNA670873	Gallus gallus	9031		Netherlands	51	WGS	True	chicken gut metagenome - raw sequence reads
PRJNA948893	Acrossocheilus fasciatus	356809		China:Wuhu	6	WGS	True	Acrossocheilus fasciatus Transcriptome or Gene expression
PRJNA650228	Homo sapiens				18	WGS	True	Development of standard protocols for shotgun metagenomics analyses of human fecal microbiota (raw sequencing reads)
PRJEB18726	Homo sapiens			Arctic Ocean	2	WGS	True	GD_MGS_title
PRJDB32644	Mus musculus	10090		missing: data agreement established pre-2023	18	WGS	True	CRC gut microbe (PRJCA029983)
PRJNA668104	Crossbred piglets (Landrace x Yorkshire x Duroc);Crossbred piglets			Denmark:Copenhagen	40	AMPLICON	True	Fecal microbiota transplantation on necrotizing enterocolitis in preterm piglets
PRJNA347599	Gallus gallus	9031		China: Guangzhou	12	WGS	True	manure metagenome Raw sequence reads
PRJNA601162	Sus scrofa domesticus	9825		USA: Ohio	62	WGS	True	sample of a gut microbiome metagenomic sample Metagenome
PRJEB39685	Meleagris gallopavo	9103		Germany	132	WGS	True	Gut Microbiomes of European Turkey and Veal Calf Herds
PRJDB3293	Potamochoerus porcus	273791		Gabon: Nyanga, Mocabe	6	WGS	True	pig_bacteria
PRJNA291299	Hen			Malaysia: Institute of Bioscience, Selangor	4	WGS	True	Caecal microbiome metagenome of laying hens
PRJNA947914	Salmo salar	8030		Norway: Dirdal	79	WGA	True	Atlantic salmon gut microbiome
PRJNA1225188	Homo sapiens				63	WGS	True	Precision Glycans Enhance Gamma-Aminobutyric Acid Production in Human Gut Model
PRJNA722684	Alces?alces			China	59	WGS	True	Research on diversity of gut microbes
PRJNA756556	Homo sapiens	9606		USA	38	WGS	True	Fiber Mixture for a Balanced Gut Microbiota and Human Health in Parkinson's Disease
PRJNA983093	Homo sapiens	9606		Malaysia	194	WGS	True	Bifidobacterium lactis Probio-M8 treated and prevented acute RTI via regulating gut microbiota and metabolites.
PRJNA874173	Alpha-synuclein transgenic c57bl/10 mice			China:Heilongjiang,Harbin	9	WGS	True	feces metagenome Raw sequence reads
PRJNA825133	Gallus gallus			China	6	WGS	True	Gallus gallus Metagenome
PRJNA543206	Gallus gallus	9031		United Kingdom: Surrey	50	WGS	True	Chicken metagenome Raw sequence reads
PRJNA877780	Mus musculus feces			China:luoyang	15	WGS	True	Mus musculus Raw sequence reads
PRJNA1163371	Sus scrofa	9823		Belgium: Gent	174	WGS	True	Structural and functional characterization of a porcine intestinal microbial ecosystem developed in vitro
PRJDB36191	Mus musculus	10090		missing: data agreement established pre-2023	20	WGS	True	Metagenomic anlysis of Af colonization (PRJCA019345)
PRJNA400119	Sus scrofa	9823		China:Ninghe,TianJin	8	WGS	True	pig gut metagenome Metagenome
PRJNA741822	Homo sapiens	9606		China:Shandong	123	WGS	True	Genome level reveals that probiotics supplementation can alleviate the clinical symptoms of patients with coronary heart disease
PRJNA932541	Hydropotes inermis	9883		Korea:hoengseong	51	WGS	True	Metabarcoding analysis for wild animals
PRJNA371649	Sus scrofa	9823		Spain: Madrid	1	WGS	True	Pig gut metagenome Raw sequence reads
PRJNA812583	Homo sapiens	9606		Denmark	12	WGS	True	Strain-level metagenomics reveal microbial transfer from donor to infant after fecal microbiota transplantation of pregnant patient
PRJDB15857	Mus musculus	10090		Japan:Shizuoka, Mishima, National Institute of Genetics, Animal Research Building	80	WGS	True	Changes in the gut microbiome associated with domestication of mice
PRJNA935053	Chanodichthys erythropterus	933992		South Korea: Estuary of the Nakdong	1	WGS	True	Utilizing next-generation sequencing to identify prey DNA in Erythroculter erythropterus
PRJDB15623	Mus musculus	10090		Japan	20	WGS	True	Genetic mutation on Escherichia coli genome during adaptation to the murine intestine is optimized to the host's diet.
PRJNA665253	Sus scrofa	9823		Canada: Edmonton	191	WGS	True	16S rRNA sequencing of swine fecal microbiota during the first three weeks after weaning Raw sequence reads
PRJNA899060	Sus scrofa domesticus	9825		USA	57	WGS	True	Metagenomic sequencing of antimicrobial treatments chlortetracycline and tiamulin in weaned swine
PRJNA1010706	Sus scrofa	9823		Spain: Lleida	419	WGS	True	Gut microbiome and resistome characterization of pigs treated with commonly used post-weaning diarrhea treatments
PRJNA1049649	Harpadon nehereus				6	WGS	True	Heavy metals and microplastic pollution in marine fishes with special emphasis on their gut microbiome
PRJNA1232341	Sus	9822		missing	32	WGS	True	Piglet fecal microbial 16S rRNA sequencing data
PRJNA721235	Romerolagus diazi	48089		Mexico: Morelos, Coajomulco	4	WGS	True	Global study of microbial diversity on volcano rabbit feces
PRJEB42464	Oncorhynchus mykiss	8022		Spain	59	WGS	True	Gut Microbiomes of European Farm Rainbow Trout
PRJEB11419	Homo sapiens	9606		USA	998	AMPLICON	True	American Gut Project
PRJNA564888	Tupaia glis	9395		Singapore	13	WGS	True	Boosting natural history research via metagenomic clean-up of crowdsourced faeces
PRJNA338370	broiler chickens			China:Qingdao	10	WGS	True	chicken gut metagenome Raw sequence reads
PRJNA825121	shrimp			China	3	WGS	True	shrimp gut metagenome Metagenome
PRJNA492361	Pristis pectinata	685728			1	WGS	True	Smalltooth Sawfish feeding ecology study
PRJNA298737	Gallus gallus	9031		Italy	94	AMPLICON	True	Cecal microbiota of BC and FRC chicken targeted loci
