study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid
PRJEB79367	Escherichia coli	562		Ethiopia	203	WGS	ena_only	
PRJNA255936	Sus scrofa	9823		Switzerland	15	WGS	ena_only	
PRJEB22036	pediatric patients				9	AMPLICON	pubmed	32743520
PRJNA630862	Sus scrofa	9823		South Korea	20	WGS	ena_only	
PRJNA896574	Mus musculus				18	RNA-Seq	pubmed	36759753
PRJNA643301	Sus scrofa domesticus	9825		Canada: Saint-Hyacinthe	63	WGS	ena_only	
PRJNA1254096	Diptychus maculatus	263537		China: Xinjiang, Upper Kizil River	14	WGS	pubmed	40630181
PRJEB59119	feces metagenome			Denmark	42	WGS	ena_only	
PRJNA202380	Ovis aries	9940		New Zealand	3	AMPLICON	pubmed	25909276
PRJNA1049315	Sus scrofa	9823		Canada: Quebec	71	AMPLICON	pubmed	38606356
PRJNA787952	Homo sapiens	9606		USA:Massachusetts	155	WGS	pubmed	35239511
PRJNA849758	seagull			China: Kunming	8	AMPLICON	pubmed	37941936
PRJEB26596				Germany	1	WGS	ena_only	
PRJEB97391				South Korea	344	WGS	ena_only	
PRJNA1055184	Gallus gallus	9031		USA: Iowa	133	WGS	ena_only	
PRJNA1050241	Gallus gallus	9031		USA: 96 Roquemore Rd, Athens, GA 30607	60	WGS	pubmed	40482531
PRJDB36916	Homo sapiens	9606		missing: data agreement established pre-2023	132	WGS	ena_only	
PRJNA1416591					4	OTHER	pubmed	41969653
PRJNA590977	Equus ferus caballus			United Kingdom:Surrey	5	WGS	pubmed	35345588
PRJNA1205011	fish			China: Sichuan	9	WGS	ena_only	
PRJNA760651	Jinhua pig			China: Hangzhou	10	WGS	pubmed	35103093
PRJEB43097	Mus musculus				1	AMPLICON	pubmed	34906228
PRJNA705468	Rattus norvegicus	10116		China: Wuxi	30	AMPLICON	pubmed	34079556
PRJNA407723	Balemonkey			Ethiopia:Afursa	219	AMPLICON	pubmed	29311667
PRJNA668104	Crossbred piglets (Landrace x Yorkshire x Duroc);Crossbred piglets			Denmark:Copenhagen	40	AMPLICON	pubmed	35680942
PRJNA991276	Sus scrofa	9823		China	8	WGS	ena_only	
PRJNA964478				China: Beijing	24	AMPLICON	pubmed	38658654
PRJDB16225	Takifugu rubripes	31033		Japan:Nagasaki	188	AMPLICON	ena_only	
PRJNA879251	Branta canadensis	8853		USA: Connecticut	27	AMPLICON	pubmed	36318011
PRJEB90484	Gallus gallus	9031		USA	59	WGS	ena_only	
PRJNA948893	Acrossocheilus fasciatus	356809		China:Wuhu	6	WGS	ena_only	
PRJNA511382	Mus musculus	10090		Japan: Kanazawa	37	AMPLICON	pubmed	31767028
PRJEB80533	pig gut metagenome			Italy	1000	AMPLICON	pubmed	41137177
PRJNA1246253	lamb			China: Inner Mongolia	1	AMPLICON	pubmed	41514203
PRJNA1092431	Mus musculus	10090		USA:University of Central Florida	53	WGS	pubmed	41853503
PRJNA1063657	Escherichia coli			China:Inner Mongolia	52	WGS	pubmed	38792807
PRJDB14208	Homo sapiens	9606		Japan	55	WGS	ena_only	
PRJEB55462				Hong Kong	294	WGS	ena_only	
PRJNA746253	Crotaphytus collaris			USA: New Mexico, Animas Pass	65	AMPLICON	pubmed	36221927
PRJNA755985	Cervus nippon Temminck			China:Baiquan	44	AMPLICON	ena_only	
PRJNA694380	Sus scrofa domesticus	9825		Thailand: Prachin Buri	2	WGS	ena_only	
PRJNA908720	Canine			China:Yushu,Qinghai/Guoluo,Qinghai	1	WGS	pubmed	37724888
PRJNA347599	Gallus gallus	9031		China: Guangzhou	12	WGS	ena_only	
PRJNA642013	mouse				31	AMPLICON	pubmed	34819495
PRJNA447857	Fish			Mexico	14	WGS	ena_only	
PRJEB50568				Ecuador	119	WGS	pubmed	36202201
PRJEB37731	vaginal metagenome		vagina	Denmark	1000	WGA	ena_only	
PRJEB46806	Gallus gallus			Sweden	51	WGS	pubmed	36619855
PRJNA1298833	Canis lupus familiaris	9615		China:Sichuan,Chengdu	4	WGS	pubmed	41012834
PRJNA775062	Sus scrofa	9823		missing	48	OTHER	pubmed	41877288
PRJNA779404	Sus scrofa domesticus			Canada:Lacombe	751	AMPLICON	ena_only	
PRJNA1034944	Canis lupus			China:Yangzhou	26	WGS	ena_only	
PRJDB10829	Homo sapiens	9606		Japan	112	WGS	ena_only	
PRJNA559605	Panthera tigris tigris			India:Bhopal	21	WGS	pubmed	32582053
PRJDB2552					1	WGS	ena_only	
PRJNA1116578	Mice			China: Beijing	96	WGS	pubmed	39519025
PRJEB81553	Mus musculus;Mus musculus castaneus	10091	UBERON:feces	USA;USA:CA:Pasadena	288	WGS	ena_only	
PRJNA702770	Canis lupus	9612		China: Shenyang	68	AMPLICON	pubmed	33676490
PRJNA1026631	Homo sapiens	9606		USA: Maywood, IL	83	WGS	ena_only	
PRJNA290684	pig gut metagenome			China: Fuqing, Fujian	39	WGS	ena_only	
PRJDB15623	Mus musculus	10090		Japan	20	WGS	ena_only	
PRJNA693398					32	AMPLICON	pubmed	34824318
PRJEB20308	Canis lupus familiaris	9615			129	WGS	pubmed	29669589
PRJEB44024	Bos Taurus			Norway	18	WGS	pubmed	39385092
PRJDB18359	Homo sapiens	9606		Japan:Tokyo, Shinjuku	45	WGS	ena_only	
PRJEB38343	fish gut metagenome				48	WGS	ena_only	
PRJNA1148165	Homo sapiens	9606		USA: Princeton, NJ	46	WGS	pubmed	39947133
PRJNA722312	Neotoma lepida	56216		USA: Utah	438	AMPLICON	pubmed	37915425
PRJNA601006	Gallus gallus	9031			36	AMPLICON	pubmed	32455745
PRJDB36826	Homo sapiens	9606		missing: data agreement established pre-2023	72	WGS	ena_only	
PRJNA1264679	Sus scrofa	9823		China:Jiangsu	16	WGS	pubmed	42063196
PRJNA874500	Gallus gallus	9031		China:Shenzhen	4	WGS	ena_only	
PRJEB51496	Eubothrium	70636	gut mucosa	Norway	75	AMPLICON	pubmed	35502903
PRJNA815969	Sus scrofa domestica			South Korea: Cheongju	2	AMPLICON	pubmed	36109557
PRJEB39298	bacterium				15	AMPLICON	pubmed	41700855
PRJNA1049198	Gallus gallus	9031		China:Nanjing	90	WGS	ena_only	
PRJNA1010108	Homo sapiens	9606		China:Guangdong	114	AMPLICON	pubmed	40624638
PRJNA544874	Mus musculus	10090		Australia: Brisbane	129	WGS	pubmed	31928131
PRJDB34615	Phascolarctos cinereus	38626		missing: data agreement established pre-2023	82	WGS	ena_only	
PRJNA356225	Homo sapiens	9606		China:Chongqing	150	WGS	pubmed	30077182
PRJNA1070373	Mus musculus	10090		China: Shanghai	90	AMPLICON	pubmed	41778161
PRJNA574295	Sus scrofa	9823		Norway: As	389	AMPLICON	ena_only	
PRJDB13194	fish gut metagenome			Japan:Iwate, Miyako, The Miyako Bay	4	WGS	ena_only	
PRJNA862908	Homo sapiens	9606		USA: Michigan	151	WGS	pubmed	37726374
PRJNA701711	Equus ferus przewalskii			China: Xinjiang	166	AMPLICON	pubmed	35814657
PRJNA433811	Salmo salar	8030		Norway	4	WGS	ena_only	
PRJDB38615	missing			missing: data agreement established pre-2023	140	WGS	ena_only	
PRJEB7759				USA	184	WGS	pubmed	27388460
PRJNA391047	Sus scrofa	9823		China: Yunfu	72	AMPLICON	pubmed	29540768
PRJNA888429	Sus scrofa	9823		China:Shanxi	23	WGS	ena_only	
PRJNA906124	Felis catus	9685		USA: Champaign, IL	33	WGS	pubmed	36471455
PRJNA831632	Hoolock tianxing	1934190		missing	145	WGS	ena_only	
PRJNA741390	Ctenochaetus striatus	175436		China: South China Sea	8	WGS	ena_only	
PRJNA1226362	SPF mice BALB/c			China	30	WGS	pubmed	41540332
PRJEB11519	pig gut metagenome				29	WGS	ena_only	
PRJNA1102860	Equus caballus	9796		Canada: Sable Island, Nova Scotia	1000	WGS	pubmed	39039075
PRJNA422434					370	WGS	pubmed	37398234
PRJNA848403	seagull			China: Kunming	8	WGS	pubmed	37208617
PRJNA556137	Rattus norvegicus	10116		Italy	30	AMPLICON	pubmed	31461893
PRJNA504404	Crassostrea virginica	27807		USA: Wachapreague, Virginia	9	AMPLICON	pubmed	33980678
PRJNA1193782	Sus scrofa	9823		China: Daocheng	57	WGS	ena_only	
PRJNA1320939					111	WGS	pubmed	42039826
PRJDB5860	Homo sapiens	9606		Thailand	376	AMPLICON	ena_only	
PRJEB14847					323	WGS	ena_only	
PRJNA1187550	Sus scrofa domesticus	9825		Canada: Guelph	128	WGS	pubmed	40533851
PRJNA761967	Gallus gallus domesticus			Belgium: GHENT	84	WGS	pubmed	35992659
PRJNA393762	Sus scrofa	9823		Spain	48	AMPLICON	pubmed	29773876
PRJNA767939	Homo sapiens	9606		Bangladesh: Chattogram	74	AMPLICON	pubmed	35237631
PRJNA383926	broiler			China:Beijing	6	WGS	ena_only	
PRJNA371649	Sus scrofa	9823		Spain: Madrid	1	WGS	ena_only	
PRJNA354235	Homo sapiens	9606		USA	813	WGS	pubmed	39947133
PRJDB15999	Mus musculus	10090		Japan:Tokyo	35	AMPLICON	ena_only	
PRJNA917074	Canis lupus familiaris	9615		China:Jinhua	1	AMPLICON	pubmed	36992396
PRJNA385256	Mus musculus	10090		Ireland	254	AMPLICON	pubmed	33218339
PRJNA666163	Gallus gallus	9031		Canada: Quebec	40	WGS	pubmed	34149685
PRJNA804100	Micropterus salmoides	27706		USA: Michigan	53	WGS	pubmed	36056619
PRJEB32631					1000	WGS	ena_only	
PRJNA786362	Bos taurus	9913		China: Zhejiang, Hangzhou	1	AMPLICON	pubmed	37087457
PRJNA861020	Felis catus	9685		New Zealand:Palmerston North	36	WGS	ena_only	
PRJEB41102				Germany	286	WGS	pubmed	34111423
PRJNA515074	Mus musculus	10090		USA:Providence,RI	24	WGS	pubmed	31523007
PRJEB61251				South Korea	286	AMPLICON	ena_only	
PRJNA701781	Sus scrofa	9823		China:Hebei	456	AMPLICON	ena_only	
PRJNA486904	C57LB/6			China:Beijing	24	AMPLICON	pubmed	33627510
PRJNA902117	Gallus gallus	9031		Canada: Alberta	33	WGS	ena_only	
PRJNA1081435	Mus musculus			USA: New York	533	OTHER	pubmed	41249836
PRJNA812583	Homo sapiens	9606		Denmark	12	WGS	ena_only	
PRJEB1786	human metagenome				145	WGS	pubmed	37398234
PRJNA48475	mixed DNA library				2	WGS	pubmed	29692798
PRJNA1092107	Bos taurus			USA: Atlanta	10	WGS	ena_only	
PRJDB4835	Mus musculus	10090		Japan:Kanagawa	30	WGS	ena_only	
PRJNA1072233	missing			missing	18	WGS	ena_only	
PRJNA1000214	Wenchang Chicken			China:HangZhou	16	WGS	ena_only	
PRJNA588621	Homo sapiens	9606		China: Haikou	109	WGS	pubmed	34193290
PRJEB109268				Mediterranean Sea	94	AMPLICON	ena_only	
PRJDB36502	Sus scrofa	9823		missing: data agreement established pre-2023	16	WGS	ena_only	
PRJNA524796	Rattus norvegicus	10116		Spain: Oviedo	24	ChIP-Seq	pubmed	32093685
PRJNA894240	Sus scrofa	9823		China:Wuhan	10	OTHER	pubmed	36625575
PRJNA673918	Homo sapiens	9606		China: Xiamen	71	WGS	ena_only	
PRJNA1070856	Sus scrofa	9823		China:ChangSha	35	WGS	ena_only	
PRJEB43621	Bos Taurus			Belgium	2	WGS	pubmed	39385092
PRJNA1073703	Mus musculus			missing	6	RNA-Seq	pubmed	39264803
PRJNA750156	feces metagenome			China:Guangdong,Maoming	46	WGS	ena_only	
PRJEB52712	Equus caballus				198	AMPLICON	pubmed	36850017
PRJNA778908	Homo sapiens	9606		Sweden	32	AMPLICON	pubmed	35672613
PRJNA773861	Capreolus pygargus	48560		China:Muling Dongbei Hongdoushan Nature Reserve	62	AMPLICON	ena_only	
PRJNA757176	Sus scrofa	9823		China:Kunming	12	WGS	ena_only	
PRJNA756556	Homo sapiens	9606		USA	38	WGS	ena_only	
PRJNA664334	Chionodraco hamatus				57	WGS	pubmed	36224580
PRJNA841251	Homo sapiens	9606		China:Guangzhou	139	AMPLICON	ena_only	
PRJNA1030894	Ochotona curzoniae	130825		China:Qinghai	100	WGS	ena_only	
PRJNA429990	Homo sapiens	9606		China	81	WGS	pubmed	39947133
PRJEB63613				Denmark	35	WGS	ena_only	
PRJEB24006				USA	25	WGS	pubmed	31332384
PRJNA721235	Romerolagus diazi	48089		Mexico: Morelos, Coajomulco	4	WGS	ena_only	
PRJDB38518	Homo sapiens	9606		missing: data agreement established pre-2023	22	WGS	ena_only	
PRJNA689557	Mus musculus	10090		USA: University of Missouri	237	AMPLICON	pubmed	35545042
PRJNA532626	Diceros bicornis			South Africa: Africa	25	WGS	pubmed	31138833
PRJEB22491					323	WGS	ena_only	
PRJNA397041	Gallus gallus	9031		China: farm in Hebei	18	WGS	ena_only	
PRJNA575543	Sus scrofa	9823		China: Yunfu	18	WGS	pubmed	32038603
PRJNA780352	Silver pompano			India	2	AMPLICON	pubmed	39543167
PRJNA353155	fish gut metagenome			India: Punjab	2	AMPLICON	ena_only	
PRJNA1307965	Mus musculus	10090			14	WGS	pubmed	41291200
PRJNA1163371	Sus scrofa	9823		Belgium: Gent	174	WGS	pubmed	40640502
PRJNA1205074					36	OTHER	pubmed	39813598
PRJNA1012124	Carollia perspicillata	40233		Russia: Moscow region	89	AMPLICON	pubmed	38139130
PRJDB18384	Homo sapiens	9606		Japan:Tokyo, Shinjuku	11	WGS	ena_only	
PRJNA510835	Homo sapiens	9606		Kenya	211	AMPLICON	pubmed	31015324
PRJNA1267527	Rattus norvegicus			China: Jinzhou Medical University	9	WGS	pubmed	41784805
PRJNA848116				China:ZheJiang	82	WGS	ena_only	
PRJNA694773	mouse			Japan:Fukuoka	10	WGS	ena_only	
PRJNA741606	Capra hircus	9925		China:Shandong	43	WGS	pubmed	38254181
PRJNA1377454	Mus musculus	10090		China: Henan Province	24	WGS	pubmed	41561024
PRJDB36775	Homo sapiens	9606		missing: data agreement established pre-2023	118	WGS	ena_only	
PRJEB42464	Oncorhynchus mykiss	8022		Spain	59	WGS	ena_only	
PRJNA903920	Mus musculus	10090		USA: Chicago	82	AMPLICON	pubmed	36496380
PRJNA1416566	Mus musculus			China:Xinjiang	4	RNA-Seq	pubmed	41969653
PRJNA951204	Sus scrofa	9823		China: Hainan	1	WGS	pubmed	37152756
PRJEB80558	synthetic metagenome			Norway	12	AMPLICON	pubmed	40354439
PRJNA981221	Homo sapiens	9606		USA: Tucson	172	AMPLICON	pubmed	38532703
PRJNA744219	Bos taurus	9913		USA: Auburn	16	WGS	pubmed	41007342
PRJEB29373	feces metagenome			China:Beijing	134	WGS	ena_only	
PRJNA338370	broiler chickens			China:Qingdao	10	WGS	ena_only	
PRJNA1206727	Homo sapiens	9606		Brazil: Florianpolis	8	WGS	pubmed	39896720
PRJNA1010706	Sus scrofa	9823		Spain: Lleida	419	WGS	pubmed	38702766
PRJNA521099	Sparus aurata	8175		Greece: Thessaloniki	2	AMPLICON	pubmed	33800578
PRJNA769748	mouse			China:Hohhot	70	WGS	ena_only	
PRJNA714611	fish gut metagenome			United Kingdom: Scotland	1	WGS	ena_only	
PRJEA61445	Escherichia coli				1	WGS	pubmed	33637779
PRJNA722684	Alces?alces			China	59	WGS	ena_only	
PRJNA1039992	Gallus gallus	9031		China: Chengdu	120	WGS	ena_only	
PRJNA291299	Hen			Malaysia: Institute of Bioscience, Selangor	4	WGS	pubmed	33868800
PRJNA849257	Canis lupus familiaris	9615		Germany	24	WGS	pubmed	35990279
PRJNA782533	feces metagenome			USA:Ariozna	79	WGS	ena_only	
PRJNA880549	Gallus gallus	9031			285	AMPLICON	ena_only	
PRJNA493817	feces metagenome			United Kingdom: Wales	2	WGS	ena_only	
PRJNA818062	Homo sapiens	9606		China:Qinghai	45	WGS	ena_only	
PRJNA492361	Pristis pectinata	685728			1	WGS	ena_only	
PRJEB86258	Gallus gallus	9031	Caecum	Austria	1000	WGS	ena_only	
PRJNA1171754	Mus musculus	10090		China: Jiangsu, Wuxi	32	RNA-Seq	pubmed	42067917
PRJDB14449	Chimaeridae	7869		Japan:Suruga Bay	3	WGS	ena_only	
PRJNA1269239	Duck			China: Zhejiang,Hangzhou	33	WGS	pubmed	41385957
PRJEB74498	canine gut metagenome			Portugal	24	AMPLICON	pubmed	39588199
PRJNA186306	Homo sapiens	9606		Sweden	1	WGS	pubmed	33637779
PRJNA1260157	Mus musculus	10090		China:Yinchuan	6	WGS	pubmed	41644553
PRJNA898082	beagle			China:Beijing	51	WGS	pubmed	39659556
PRJNA670873	Gallus gallus	9031		Netherlands	51	WGS	ena_only	
PRJNA1138893	Homo sapiens	9606		China:Inner Mongolia	46	WGS	pubmed	41368641
PRJNA1232403	Apis mellifera	7460		Switzerland:Lausanne	98	WGS	pubmed	41188219
PRJEB51122	pig gut metagenome			United Kingdom	161	WGS	ena_only	
PRJNA1158959	Sus scrofa vittatus	2485929		Singapore: Lorong Halus	89	WGS	pubmed	41928361
PRJNA1268176	Rattus norvegicus			China: Jinzhou Medical University	9	RNA-Seq	pubmed	41784805
PRJNA726916	Mus musculus	10090		USA: University of Missouri	10	AMPLICON	pubmed	34638954
PRJEB31650	Sus scrofa	9823		Denmark	567	WGS	ena_only	
PRJNA1311824	Grus japonensis	30415		China: Jiangsu	5	RNA-Seq	pubmed	41403401
PRJNA397886	Mus musculus	10090		USA: San Francisco	52	WGS	pubmed	35417481
PRJEB43555	Human				66	AMPLICON	pubmed	34707577
PRJNA1219188	Sus scrofa domestica			United Kingdom:Wincherster	185	WGS	pubmed	41904571
PRJNA528194	yak01			China:Qinghai,Datong	44	AMPLICON	pubmed	33897627
PRJNA574035	Homo sapiens	9606			22	AMPLICON	pubmed	31698863
PRJEB24885	Mus musculus	10090		Israel:Safed	160	AMPLICON	pubmed	37175619
PRJDB32644	Mus musculus	10090		missing: data agreement established pre-2023	18	WGS	ena_only	
PRJNA273761	Homo sapiens	9606		USA: Pittsburgh, PA	60	WGS	pubmed	38882494
PRJNA945365	Micropterus salmoides	27706		China	15	WGS	pubmed	38167330
PRJNA1204506	Gallus gallus				5	WGS	ena_only	
PRJDB38794	Apis cerana	7461		missing: data agreement established pre-2023	8	WGS	ena_only	
PRJNA872826	Sus scrofa	9823		China: Kunming	9	AMPLICON	pubmed	36313418
PRJEB28237				Canada	191	WGS	ena_only	
PRJEB15120				USA	193	AMPLICON	ena_only	
PRJNA415593	Gallus gallus	9031		USA: SD, Brookings	18	OTHER	pubmed	30918057
PRJEB86255	Gallus gallus	9031	Caecum	Austria	720	WGS	ena_only	
PRJNA1115810	Larimichthys crocea			China:Shanghai	24	RNA-Seq	pubmed	39820425
PRJEB66224	feces metagenome			Italy	20	WGS	ena_only	
PRJNA1274617	mouse			China:Jiangsu	45	AMPLICON	pubmed	41481285
PRJNA389749	Sus scrofa	9823		China:Ninghe,TianJin	8	WGS	ena_only	
PRJNA524980	Sus scrofa	9823		China:chengdu	9	WGS	ena_only	
PRJDB31830	Pseudois nayaur	59542		missing: data agreement established pre-2023	79	WGS	ena_only	
PRJEB102780				Estonia	195	AMPLICON	ena_only	
PRJNA301903	Homo sapiens	9606		USA: Saint Louis, MO	407	WGS	pubmed	38882494
PRJNA991262	chicken gut metagenome			China: Hefei	11	WGS	ena_only	
PRJEB12469	Gadus morhua				66	WGS	pubmed	36879316
PRJDB38277	Homo sapiens	9606		missing: data agreement established pre-2023	51	WGS	ena_only	
PRJNA891490	Phascolarctos cinereus	38626		Australia: Toorbul	60	AMPLICON	pubmed	37525141
PRJEB71372	Tursiops truncatus	9739	UBERON:feces	USA;USA:CA:La Jolla	123	WGS	pubmed	38305096
PRJEB27498	Gadus morhua	8049		Norway	6	WGS	pubmed	30995938
PRJNA1143568	Gallus gallus	9031		Canada:Saskatchewan	156	WGS	ena_only	
PRJNA861716	Homo sapiens	9606		Italy	359	WGS	pubmed	38802370
PRJEB62783				Germany	30	WGS	ena_only	
PRJNA782241	Bacillota			China	55	AMPLICON	pubmed	35095912
PRJEB4391				USA	36	WGS	pubmed	25010839
PRJEB86262	Sus scrofa	9823	Caecum	Norway	432	WGS	ena_only	
PRJNA1232340	Mus musculus	10090		missing	32	AMPLICON	pubmed	40969552
PRJEB31009					24	WGS	ena_only	
PRJEB22973				China	245	WGS	ena_only	
PRJEB13870				China	196	WGS	pubmed	32188862
PRJNA1105391	Aonyx cinereus	452597		China: Beijing	16	OTHER	pubmed	39601555
PRJNA750446	Sparus aurata	8175		Spain: Burriana	18	AMPLICON	pubmed	37628701
PRJEB10878				China	128	WGS	pubmed	35440042
PRJNA825133	Gallus gallus			China	6	WGS	ena_only	
PRJNA72355	Pig 28	9825		USA: Ames, Iowa	140	AMPLICON	pubmed	22128350
PRJNA1141435	Perca flavescens	8167		USA: MN, Trout Lake	62	WGS	pubmed	39624158
PRJEB81804	Sus scrofa	9823	UBERON:colon	USA;USA:CA: San Diego	573	WGS	ena_only	
PRJNA667194	pig gut metagenome			China:Anhui	1	WGS	ena_only	
PRJNA645563	poultry			China:Beijing	22	AMPLICON	pubmed	33424783
PRJNA375762	Gallus gallus	9031		USA	12	WGS	pubmed	33868800
PRJNA738684	Homo sapiens	9606		China:Beijing	52	WGS	ena_only	
PRJNA1025260	Mus musculus			USA: California	35	WGS	pubmed	39331712
PRJEB23561	bovine metagenome			France	82	WGS	pubmed	32473013
PRJNA312222	Homo sapiens	9606		USA:Minnesota,Rochester	4	WGS	pubmed	27303377
PRJNA1237790	mice			China: Wulumuqi	32	AMPLICON	pubmed	40943165
PRJNA590457	plateau pika01			China:Qinghai,Gangcha	149	AMPLICON	pubmed	33369229
PRJNA518081	oyster metagenome			USA: Narragansett Bay, Rhode Island	93	AMPLICON	pubmed	33980678
